**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 3

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
K,  0.00000,  0.00000,  0.09762,  0.21184,  0.26269,  0.43258,  0.20229,  0.14269,  0.70539,  0.00000
Ca,  9.65032,  9.63649, 13.24156, 16.46262, 17.72550, 17.76344, 15.22853,  3.21330,  0.21101,  0.33297
OC,  8.04577,  2.79416,  2.82678,  3.14245,  5.26889,  8.05482,  4.14604,  2.11028,  0.50899,  0.26228
EC,  0.07852,  0.00000,  0.00000,  0.00005,  0.13073,  0.29952,  0.07440,  0.11984,  1.61080,  1.52621
Si, 10.89631, 10.88516, 13.55913, 16.46418, 17.47655, 17.50558, 15.37226,  2.63920,  0.17169,  0.24221
Sb,  2.54197,  2.53759,  3.81488,  4.83904,  5.26921,  5.28424,  4.44198,  1.08218,  0.24362,  0.42572
Fe,  0.84950,  0.09629,  0.10002,  0.21896,  0.48913,  0.85082,  0.32464,  0.29698,  0.91479,  0.34959
Zn,  0.79347,  0.77760,  0.78269,  0.78423,  0.78898,  0.79350,  0.78520,  0.00527,  0.00671,  0.00664
Mg,  0.69607,  0.55945,  0.56009,  0.58117,  0.63857,  0.69632,  0.60292,  0.05432,  0.09010,  0.07804
Al,  0.72994,  0.72898,  1.01533,  1.19933,  1.28912,  1.29193,  1.12589,  0.22127,  0.19653,  0.30314
PM25, 42.64971, 42.64596, 42.82743, 43.57744, 44.77233, 48.53138, 44.28061,  2.19242,  0.04951,  0.05141

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  0.95364,  0.95364,  1.14061,  2.07802,  4.12448,  4.27951,  2.52614,  1.46972,  0.58181,  1.54118
NO3,  0.25294,  0.25294,  0.30158,  0.43206,  0.64663,  0.67157,  0.46537,  0.17698,  0.38030,  0.69968
Cl,  0.75434,  0.74461,  0.75644,  0.83575,  0.86931,  0.89692,  0.82128,  0.05672,  0.06907,  0.07519
Na,  1.38465,  0.28107,  0.35957,  0.68348,  1.31768,  1.38465,  0.79044,  0.48332,  0.61146,  0.34906
NH4,  0.00040,  0.00036,  0.00057,  0.08425,  0.29302,  0.30415,  0.13590,  0.14582,  1.07295,361.27743
K,  1.52488,  1.45030,  1.53628,  1.95065,  2.11322,  2.30392,  1.87286,  0.30031,  0.16035,  0.19694
Ca,  9.07658,  0.16033,  0.38571,  3.28348,  8.76346,  9.07658,  4.21195,  3.97305,  0.94328,  0.43773
OC,  0.33881,  0.33881,  0.40470,  0.79275,  1.66893,  1.73121,  0.98993,  0.62352,  0.62987,  1.84032
EC,  1.48140,  1.42285,  1.49621,  2.06206,  2.30675,  2.47977,  1.95963,  0.40302,  0.20566,  0.27205
Si,  8.51750,  0.19374,  0.35598,  3.07966,  8.31732,  8.51750,  3.96321,  3.72968,  0.94107,  0.43788
Sb,  2.78000,  0.00063,  0.11303,  0.98486,  2.66179,  2.78000,  1.26983,  1.23143,  0.96976,  0.44296
Fe,  0.70633,  0.70633,  0.74103,  1.17017,  1.39065,  1.42752,  1.09715,  0.31841,  0.29022,  0.45080
Zn,  0.74233,  0.71836,  0.72485,  0.72950,  0.74195,  0.74500,  0.73190,  0.00910,  0.01244,  0.01226
Mg,  0.72710,  0.72710,  0.73183,  0.83270,  0.88576,  0.88887,  0.81565,  0.07241,  0.08877,  0.09958
Al,  0.95608,  0.48255,  0.51617,  0.65627,  0.92676,  0.95608,  0.70126,  0.20723,  0.29552,  0.21675
PM25, 69.80300, 68.60519, 70.05066, 79.34779, 83.25493, 86.59983, 77.64750,  6.66023,  0.08578,  0.09541
